"your_campus","your_acade","your_grade","club_stud_org","class_commi","soci_acti","dali_live","local","Social Radius"
"HEMC","c1","graduate",0,0,0,0,1,2.84153649670891
"GZIC","C2","sophomore",1,1,0,0,1,2.53728264073092
"GZIC","C3","freshman",1,1,0,1,0,1.97160821298752
"GZIC","C4","junior",1,1,1,1,1,1.97160821298752
"GZIC","C5","graduate",0,0,0,0,0,2.87700167010512
"GZIC","C6","junior",1,1,0,0,1,1.97160821298752
"GZIC","C7","graduate",1,1,1,1,0,2.00108065625307
"HEMC","c2","junior",1,0,0,0,0,2.63002259553984
"HEMC","c3","junior",0,0,0,0,0,1.96591020728952
"HEMC","c4","junior",1,0,0,0,0,2.48315158659986
"HEMC","c5","sophomore",0,0,0,0,0,2.4961194616367
"HEMC","c6","freshman",0,0,1,1,0,2.8762157382847
"HEMC","c7","junior",0,1,0,0,1,2.60850771195599
"HEMC","c8","sophomore",1,1,1,1,0,1.96591020728952
"HEMC","c9","junior",1,1,0,0,1,1.96591020728952
"HEMC","c10","junior",1,0,0,0,1,2.75744179192455
"HEMC","c11","junior",0,0,0,0,1,2.7006582178996
"HEMC","c12","junior",1,1,0,0,0,2.70183711563022
"HEMC","c13","senior",1,0,0,0,0,2.8762157382847
"HEMC","c14","junior",1,0,0,1,1,1.96591020728952
"HEMC","c15","junior",0,0,0,0,0,2.81304646821888
"HEMC","c16","senior",1,1,1,1,1,2.62678062678063
"HEMC","c17","junior",1,0,0,0,0,2.77374987719815
"HEMC","c18","graduate",0,1,0,0,1,2.43629040180764
"HEMC","c19","junior",1,0,0,0,0,1.96591020728952
"HEMC","c20","sophomore",1,1,0,1,1,2.4072109244523
"HEMC","c21","junior",1,0,0,0,0,2.48423224285293
"HEMC","c22","sophomore",1,1,0,1,1,1.96591020728952
"HEMC","c23","junior",1,1,1,1,0,2.03998428136359
"GZIC","D1","sophomore",1,1,0,0,0,2.79359465566362
"HEMC","d1","sophomore",1,0,1,1,0,2.201886236369
"GZIC","D2","graduate",1,1,0,0,0,2.37125454366834
"HEMC","d2","senior",1,1,1,1,0,1.96689262206504
"GZIC","D3","sophomore",0,0,1,1,1,2.81284998526378
"GZIC","D4","sophomore",1,1,0,0,1,2.57107770900874
"GZIC","D5","sophomore",0,0,0,0,0,2.13694861970724
"GZIC","D6","sophomore",1,1,1,0,0,1.99518616759996
"GZIC","D7","sophomore",1,1,0,1,1,1.97072403968956
"GZIC","D8","sophomore",1,1,0,0,1,2.59495038805384
"GZIC","D9","sophomore",0,1,0,0,0,2.76490814421849
"GZIC","D10","freshman",0,0,0,0,1,2.81903919834954
"HEMC","d3","freshman",1,1,1,0,0,2.77699184595736
"GZIC","D11","sophomore",1,0,0,0,1,2.81235877787602
"GZIC","D12","sophomore",1,1,1,0,0,2.72787110718145
"GZIC","D13","sophomore",1,1,0,1,1,2.6009431181845
"GZIC","D14","sophomore",1,1,0,0,1,2.65487768936045
"HEMC","d4","senior",1,0,0,0,0,2.35926908340701
"HEMC","d5","junior",1,0,1,0,0,2.26201002063071
"HEMC","d6","junior",1,0,1,0,0,2.23646723646724
"HEMC","d7","senior",1,1,1,1,1,2.84743098536202
"HEMC","d8","senior",1,1,0,0,1,2.89900776107673
"GZIC","E1","junior",1,1,0,0,0,2.6982021809608
"GZIC","E2","freshman",1,1,1,0,0,2.70979467531192
"HEMC","e1","senior",0,0,0,0,0,1.97219766185283
"GZIC","E3","freshman",0,1,0,0,1,2.73740053050398
"GZIC","E4","freshman",1,0,1,1,0,2.73740053050398
"GZIC","E5","junior",1,1,1,1,1,2.31309558895766
"GZIC","E6","sophomore",1,0,0,0,0,2.70606149916495
"GZIC","E7","junior",1,1,0,0,1,1.96276648000786
"GZIC","E8","junior",1,0,0,0,0,1.96276648000786
"GZIC","E9","graduate",0,1,0,1,0,1.96276648000786
"GZIC","E10","junior",1,0,1,1,1,1.96276648000786
"GZIC","E11","junior",1,1,1,1,0,1.96276648000786
"GZIC","E12","junior",0,0,0,1,1,1.96276648000786
"GZIC","E13","junior",0,0,0,0,0,2.70360546222615
"GZIC","E14","freshman",1,1,0,0,0,2.73740053050398
"GZIC","E15","junior",1,0,1,1,0,2.1645544748993
"GZIC","E16","junior",0,0,0,0,1,2.5177325866981
"GZIC","E17","junior",0,1,0,0,0,2.67609784851164
"GZIC","E18","junior",0,0,0,0,1,1.96276648000786
"GZIC","E19","sophomore",1,0,0,0,1,1.96276648000786
"GZIC","E20","junior",1,0,0,0,0,2.44041654386482
"GZIC","E21","junior",1,1,1,1,1,2.60153256704981
"GZIC","E22","junior",1,0,1,1,1,1.96276648000786
"GZIC","E23","junior",1,0,1,0,1,2.48521465762845
"GZIC","E24","junior",1,1,0,0,1,2.27605855192062
"GZIC","E25","sophomore",1,0,1,1,0,2.16573337262992
"GZIC","E26","junior",1,0,0,0,1,2.52500245603694
"GZIC","E27","freshman",1,1,1,1,1,1.99430199430199
"GZIC","E28","junior",1,1,0,1,0,2.02868651144513
"GZIC","E29","sophomore",1,1,1,1,0,2.30572747814127
"GZIC","E30","junior",1,1,1,1,1,1.96276648000786
"GZIC","E31","junior",0,1,0,1,1,2.68847627468317
"GZIC","E32","junior",1,0,0,0,0,1.96276648000786
"GZIC","E33","junior",0,0,0,1,0,1.96276648000786
"GZIC","E34","graduate",0,0,0,0,0,2.59151193633952
"GZIC","E35","junior",1,1,1,1,0,2.44375675410158
"HEMC","e2","sophomore",0,0,0,0,1,2.92268395716672
"HEMC","e3","sophomore",1,0,0,1,0,2.70802632871598
"WuShan","F1","sophomore",0,0,0,1,0,1.95893506238334
"WuShan","F2","junior",1,1,0,0,1,1.95893506238334
"WuShan","F3","graduate",1,0,0,1,1,2.64023970920523
"WuShan","F4","freshman",1,1,1,1,1,2.34836427939876
"WuShan","F5","senior",1,0,0,1,1,1.95893506238334
"WuShan","F6","senior",0,0,0,0,1,2.62560172905
"WuShan","F7","senior",0,1,0,0,0,2.66096866096866
"WuShan","F8","senior",0,1,0,0,0,2.74555457314078
"HEMC","f1","graduate",1,1,0,1,0,1.96728558797524
"WuShan","F9","junior",0,0,0,0,0,2.3694861970724
"HEMC","f2","graduate",1,1,0,0,0,2.69888987130366
"WuShan","F10","senior",1,0,0,0,0,1.95893506238334
"WuShan","F11","junior",0,0,0,0,1,1.95893506238334
